id,owner-uid,name,description,category,attribution,periodOfTime,postingFreq,originator,link,downloadCount,viewCount,licenseId,publicationDate,rowsUpdateAt,tags,rowLabel,metadataLanguage,numberColumns,numColumnDescriptions,numTags
yr5j-kyei,4qen-4xif,WA RCO SCORP 2013 Field Definitions,"This dataset is a survey of outdoor recreation demand which includes responses from 3,114 residents of Washington state who were interviewed by phone between August 27 and October 26, 2012. The telephone survey was conducted using random digit dialing.  To meet the regional planning requirements of the project, the sample was stratified by the 10 planning regions in Washington (see the 2013 SCORP Plan, Appendix A for survey methodology and map). The consultant obtained a minimum of 300 completed interviews in each region.  Within each region, the results were weighted by demographic characteristics so that the sample was representative of residents of that region.  For statewide results, each region was weighted to be in proper proportion to the state population as a whole.  Study findings are representative at the statewide level as well as by planning region.  Any manipulation or analysis of the data should take this sampling approach and weighting into account.",Recreation,Washington State Recreation and Conservation Office (WA RCO),,,,http://www.rco.wa.gov,0,0,PUBLIC_DOMAIN,2013-10-31 15:06:45,2013-10-31 15:02:41,"['washington', 'state', 'wa', 'recreation', 'conservation', 'office', 'rco', 'comprehensive', 'outdoor', 'plan', 'scorp', '2013', 'national park service', 'nps']",,,4,0,14
d886-d5q2,eagg-6py7,Electric Vehicle Population Size History,This shows the number of electric vehicles that were registered by Department of Licensing (DOL) each month. DOL integrates National Highway Traffic Safety Administration (NHTSA) data and the Environmental Protection Agency (EPA) fuel efficiency ratings with DOL titling and registration data to create this information.,Transportation,Department of Licensing,Data includes historical Electric Vehicle population counts from January 2017 through January 2021.,Monthly,"Research and Analysis Office, Department of Licensing",,893,1079,,2019-08-07 11:16:04,2021-02-11 13:17:12,"['battery electric', 'bev', 'plug-in', 'hybrid', 'phev', 'electric', 'vehicle', 'clean energy', 'population growth', 'rao_open_data', 'dol_open_data']",Monthly count of vehicles,,4,4,11
3vxk-ghwr,h2ue-vnnt,Criminal Justice,,Public Safety,,,,,,2184,1077,,2013-06-21 09:37:42,2013-06-21 09:36:51,N/A,,,147,0,0
muj8-5iym,6hhm-htpq,Jurisdictions By Election Year,"This dataset contains all jurisdictions for which at least one candidate has registered with the PDC or declared their candidacy. Jurisdictions that do not have a campaign finance filing requirement are not displayed. For example, the office of the governor is displayed only for years where the office is up for election. The dataset covers the last 10 years.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Last 10 years. See description,Daily,,http://www.pdc.wa.gov,1520,1069,PUBLIC_DOMAIN,2020-11-11 20:01:34,2021-02-15 11:34:26,"['political finance', 'elections', 'campaign', 'political committee']",Jurisdiction for Election Year,,15,15,4
d2ig-r3q4,6hhm-htpq,Loans to Candidates and Political Committees,"This data set contains candidate and political committee loan information for the last 10 years.

Data includes loans received, loan repayments, interest payments, and loans forgiven.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Washington State Public Disclosure Commission,,,,http://www.pdc.wa.gov,1878,1046,PUBLIC_DOMAIN,2021-01-12 15:07:01,2021-02-15 14:50:25,"['political finance', 'elections', 'contributions', 'campaign', 'political committee', 'disclosure']",Loans-related transaction,,34,34,6
xhn7-64im,6hhm-htpq,Lobbyist Employment Registrations,"This dataset contains records indicating the employment of lobbyist firms by entities that employ lobbyists. Each record represents a registration by the lobbyist firm and employer (client) for one year. 

In some cases, the lobbyist firm may have been hired as a subcontractor by another firm to lobby on behalf of their clients. In these cases, refer to the contractor fields to determine the lobbyist firm that has hired the subcontractor.

This data set contains only records for 2016 and later. For records prior to 2016, please see the data set, ""Pre-2016 Lobbyist Employment Registrations""

Each record provides links to document providing detailed information about the lobbyist firm, employer and nature of the employment.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Last 10 years. See description,Once per hour.,,http://www.pdc.wa.gov,3056,1023,PUBLIC_DOMAIN,2017-02-10 09:13:15,2021-02-15 14:35:33,"['political finance', 'elections', 'expenditures', 'campaign', 'political committee', 'lobbying']",Lobbyist firm and employer registration,,13,13,6
qgtz-buis,x2yz-d38n,Broadband Community Anchor Institution Listings,"Broadband availability at Community Anchor Institutions, as collected by the Washington State Broadband Office for the State Broadband Initiative.",Economics,Washington State Broadband Office,,,,http://broadband.wa.gov,2307,1005,PUBLIC_DOMAIN,2015-01-27 15:22:23,2015-01-27 15:22:06,"['broadband', 'community anchor']",,,27,0,2
spyf-ga46,7ykf-4t5h,Report Card Assessment Data 2017-18 School Year,"This file includes Report Card assessment data from 2017-18 school year. Data is disaggregated by school, district, and the state level and includes counts of students by the following groups: grade level, gender, race/ethnicity, and student programs and special characteristics. Please review the notes below for more information.",Education,OSPI,,,,https://washingtonstatereportcard.ospi.k12.wa.us/,309,994,,2019-09-27 12:01:56,2019-09-27 12:01:55,"['ospi', 'k-12', 'assessment', '2018', 'student', 'reportcard']","Single Organization (School, District, or State) by Grade Level and Student Group",,30,25,6
ti55-mvy5,6hhm-htpq,Surplus Funds Expenditures,"This dataset contains expenditures made by from surplus funds accounts of Washington State Candidates for the last 10 years as reported to the PDC on forms C3, C4, Schedule C and their electronic filing equivalents.

A surplus funds account uses the same value for the filer id field in the data set except the surplus account has a ""*"" in it. This can be used to correlate to the same candidate in other data sets.

For surplus accounts, the number of years is determined by the year of the election, not necessarily the year the expenditure was reported.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See
RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Last 10 years. See description,Daily,,http://www.pdc.wa.gov,1403,985,SEE_TERMS_OF_USE,2020-11-14 12:31:23,2021-02-15 14:30:24,"['political finance', 'elections', 'expenditures', 'campaign', 'political committee']",Expenditure from candidate surplus funds account.,,19,19,5
c4ag-3cmj,6hhm-htpq,Lobbyist Summary,"This dataset contains information about lobbyists and the totals from all their L2s for a given year.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Data retrieval starts in 2016,Daily,,http://www.pdc.wa.gov,1767,976,SEE_TERMS_OF_USE,2019-07-23 07:36:43,2021-02-15 14:56:24,"['lobbying', 'lobbyist', 'lobbyist expense reports']",Lobbyist totals from all employers for a year.,,29,28,3
uyg8-hybx,x2yz-d38n,FCC wireline broadband service - WA only,"Form 477 wireline service data from FCC for state of Washington. Providers file lists of census blocks in which they can or do offer service to at least one location, with additional information about the service.",Economics,FCC,2018,semi-annually,Office of Privacy and Data Protection,https://www.fcc.gov/general/broadband-deployment-data-fcc-form-477,1250,964,USGOV_WORKS,2017-12-13 13:15:18,2019-09-11 11:34:16,['broadband'],Served census block,English,17,1,1
h7j9-vgr3,q8y9-svx9,Annual 2013 Water Quality Index Scores,"Routine freshwater monitoring data collected by the The WA State Department of Ecology's River and Stream Monitoring Program are summarized by a technique called the ""Water Quality Index"" (WQI).  The WQI ranges from 1 (poor quality) to 100 (good quality). The WQI summary does not include non-standard elements like metals. For temperature, pH, oxygen, and fecal coliform bacteria, the WQI is based on criteria in Washington’s Water Quality Standards, WAC 173-201A. 
For nutrient and sediment measures where standards are not specific, results are based on expected conditions in a given region. Multiple constituents are combined and results aggregated over time to produce a single score for each station and each year.",Natural Resources & Environment,"Markus Von Prasue, WA State Department of Ecology's River and Stream Monitoring Program",,,,http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html,2404,959,PUBLIC_DOMAIN,2014-04-28 09:11:25,2014-04-25 09:52:04,"['water quality index', '2013 river and stream water quality monitoirng data', 'ecology', 'state-of-the-salmon']",,,16,0,4
agvw-ch2s,vrr3-nct2,State Agency Amazon Spend,DES is publishing the Amazon spend for state agencies collected through the Washington State Amazon Business account. The data set only includes closed orders. Any orders that are still in process or have been cancelled are not included.,Procurements and Contracts,,,,,,1949,939,,2020-01-24 08:10:16,2021-02-05 15:59:23,"['contracts', 'procurement', 'report', 'agency', 'spend']",,,27,0,5
i3e8-j9am,uvk3-5sck,Public Health Activities and Services - 2014,"The Public Health Activities and Services (PHAS) data measures what public health does in the state and how much of it is done across all 35 local health agencies and the Department of Health in Washington State each year.  Activities measured fall under the following broad categories:
  Access To Care 
  Assessment 
  Communicable Disease 
  Communicable Disease: Immunization 
  Emergency Preparedness 
  Environmental Health 
  Healthy Families 
  Prevention and Wellness
More PHAS data is available at https://fortress.wa.gov/doh/phip/PHIP/Home.mvc",Health,Washington State Department of Health,,,,https://fortress.wa.gov/doh/phip/PHIP/Home.mvc,3209,929,PUBLIC_DOMAIN,2015-12-21 15:19:29,2015-12-21 15:19:15,"['public health', 'public health activities', 'public health services', 'public health counts', 'washington state department of health']",Row,,229,0,5
gexj-mqiq,qav9-tahu,"WAOFM - Congressional Districts - Table 2: Census 2010 Population by Race and Hispanic or Latino Origin, for All Ages and for 18 Years and Over","Census 2010 population  by race and Hispanic or Latino origin, for all ages and for 18 years and over for congressional districts based on Washington State Redistricting Commission plan C-JOINTSUB_2-1 as amended by Engrossed House Concurrent Resolution 4409.",Demographics,"Washington State Office of Financial Management, Forecasting Division",,,,http://www.ofm.wa.gov/pop/census2010/default.asp,2212,924,PUBLIC_DOMAIN,2012-02-23 11:13:04,2012-02-23 11:08:57,"['wa', 'washington', 'ofm', 'state', 'congressional district', 'population', 'housing', 'redistricting']",,,39,0,8
gi9j-78eu,h2ue-vnnt,2016- 2019 Dental Loss Ratios,"This file serves as a dental insurance summary database for PY 2016-2019. OIC plans to post updates on an annual time frame, where possible. This data is cumulative at the company level as reported to NAIC.",Procurements and Contracts,Washington office of the Insurance Commissioner,PY2016 - PY2019 ,Annual,WAOIC,https://www.insurance.wa.gov/,5541,921,PUBLIC_DOMAIN,2017-08-15 16:07:42,2020-09-10 07:35:49,"['insurance', 'dental', 'dentist', 'annual report', 'premiums', 'payments', 'members', 'life', 'property', 'health']",Company (annual),English,13,9,10
bzff-4fmt,54vy-b9jn,L&I Contractor License Data - Bond,"State of Washington, Labor & Industries contractor license and bond data.",Labor,Labor & Industries,,"L&I Contractor Insurance Data is updated thee times per day: 8:00 a.m., 12:15 p.m., 5:15 p.m.",,http://www.lni.wa.gov/TradesLicensing/Contractors/HireCon/Verify,2429,909,,2016-12-08 13:22:34,2021-02-15 12:22:25,"['l&i', 'lni', 'labor & industries', 'contractor', 'license', 'insurance']",Row,,16,0,6
9dee-kzm5,v3pq-y2y4,LCB Liquor Renewal,,Public Safety,,,,,,3173,906,,2015-06-17 11:33:04,2021-02-06 04:30:56,"['lcb', 'renewal']",,,32,0,2
bp5b-jrti,6hhm-htpq,Lobbyist Agents,"This dataset contains information about the agents employed by a lobbying firm and the employers they ultimately lobby for.

See the Lobbyist Agent Employers dataset for each individual lobbyist agent to employer relationship.

A lobbyist/firm registers with the PDC, not individual agents (employees) of that firm. The PDC provides this data as a way to see the individuals that lobby for a firm and all the employers of that firm. This does not indicate that a particular agent necessarily lobbied for a particular employer, merely that the agent's firm lobbied for that employer.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Data retrieval starts in 2016,Daily,,http://www.pdc.wa.gov,3546,899,SEE_TERMS_OF_USE,2019-09-30 08:26:46,2021-02-15 14:27:40,"['lobbying', 'lobbyist', 'agent']",Agent for a given year.,,13,13,3
769e-73q6,eagg-6py7,Driver Licenses and ID Cards Transferred to Washington,This data set shows monthly counts of new Washington State driver licenses and identification cards (ID) where customers presented licenses or IDs from other states or countries. The data is organized by Washington counties where the customers live. It shows where the previous driver licenses or ID cards were issued.,Demographics,Department of Licensing,Data includes counts from September 2018 through January 2021.                                                                                       ,Monthly,,,109,871,,2021-02-04 10:59:42,2021-02-04 11:34:24,"['migration', 'moving to washington', 'new drivers', 'driver license', 'driver licenses', 'id card', 'identification card', 'county', 'population', 'washington state driver reports', 'dol_open_data', 'rao_open_data']",Count of Driver Licenses and ID Card Issuances,,14,14,12
kbv8-aawq,fuyk-waw8,Lower Columbia Final Abundance 11202012,,,,,,,,1107,870,,2012-12-02 14:04:20,2012-12-02 14:03:22,N/A,,,8,0,0
9bjy-hi93,8ghr-nmpd,"Medicare Beneficiary Enrollment and Demographics, Washington State and Counties, 2007-2014","(Source: CMS Medicare Geographic Variation Public Use File, December 2015)",Health,"Wei Yen, Washington State Office of Financial Management",,,,,2798,868,PUBLIC_DOMAIN,2016-05-12 15:39:53,2016-05-12 15:33:33,"['medicare enrollment', 'medicare beneficiary demographics']",Row,,18,0,2
u7ez-d8rb,iq8s-snnt,Water Quality Index Scores,Water Quality Index scores by station. Used in conjunction with the WRIA_Stations dataset to produce the water quality tables for the bi-annual state of salmon report. (stateofsalmon.wa.gov),Natural Resources & Environment,GSRO,,,,,2058,853,PUBLIC_DOMAIN,2014-11-25 10:23:08,2014-11-25 10:19:55,"['wri', 'water quality', 'state-of-the-salmon']",,,5,0,3
9kcu-2bem,6hhm-htpq,Candidate Surplus Funds Reports,"This data set contains all the surplus funds C4s filed by a candidate.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Last 10 years. See description,Daily,,http://www.pdc.wa.gov,1419,850,PUBLIC_DOMAIN,2020-11-15 11:20:28,2021-02-15 14:30:24,"['political finance', 'elections', 'campaign', 'political committee']","The amounts raised, spent, and balance for a reporting period.",,13,13,4
fs63-sd8y,7ykf-4t5h,Report Card Enrollment 2017-18 School Year,"This file includes Report Card enrollment data from 2017-18 school year. Data is disaggregated by school, district, and the state level and includes counts of students by the following groups: grade level, gender, race/ethnicity, and student programs and special characteristics. Please review the notes below for more information.",Education,OSPI,,,,https://washingtonstatereportcard.ospi.k12.wa.us/,478,822,,2021-01-20 12:10:03,2021-01-20 12:10:03,"['ospi', 'enrollment', 'k-12', '2018', 'reportcard', 'student']","Single Organization (School, District, or State) by Grade Level",,43,30,6
p2c3-pm28,8ghr-nmpd,"Hospital Inpatient Discharges by DRG, Washington, FY2011","This table shows the low, high, and average percents of discharges related to a referenced DRG (diagnosis-related group) as a share of the total discharges from the top 100 common DRGs.  The source of data for this table is FY2011 hospital charges file provided by the Centers for Medicare and Medicaid Services (CMS).",Health,,,,,,4771,812,,2013-06-19 17:13:19,2013-06-19 17:12:28,['hospital inpatient discharges drg'],,,9,0,1
hdw4-yhs4,8tjb-r73d,Summer Low Flow Trend Indicator 1975-2013,"Summer Low Flow Trend Indicator results, statewide, updated through Oct 2013. 

This information is updated annually with an additional year of flow data. These results are provided to the Puget Sound Partnership for their Vital Signs (http://www.psp.wa.gov/vitalsigns/summer_stream_flows.php) and to the Governor's Salmon Recovery Office for the ""State of Salmon in WAtersheds"" report (http://stateofsalmon.wa.gov/statewide/indicators/water-quantity). 

The attached document ""WR Indicator Outcomes Memo - 10-24-10.pdf"" describes the methodology for developing these indicators. 

The attached document ""Low Flow Indicator Metadata.pdf"" describes the contents of each column. 

Dept. of Ecology home page: http://www.ecy.wa.gov/ 

Disclaimer: 
Information provided by Ecology on this Web site is accurate to the best of Ecology's knowledge and is subject to change on a regular basis, without notice. Ecology cannot and does not warrant that the information on this Web site is absolutely current, although every effort is made to ensure that it is kept as current as possible. Ecology cannot and does not warrant the accuracy of these documents beyond the source documents, although every attempt is made to work from authoritative sources. Links to related sites are provided as a courtesy, but Ecology is not responsible for their availability, content or policies.",Natural Resources & Environment,Washington State Department of Ecology,,,,http://www.ecy.wa.gov,1629,812,PUBLIC_DOMAIN,2014-09-23 11:49:25,2014-09-23 11:49:22,"['flow', 'indicator', 'trend', 'gages', 'ecology', 'eap', 'salmon', 'puget sound', 'state-of-the-salmon']",,,16,0,9
swuj-ccgu,8ghr-nmpd,"Hospital Inpatient Discharges by DRG, U.S., FY2011","This table shows the low, high, and average percents of discharges related to a referenced DRG (diagnosis-related group) as a share of the total discharges from the top 100 common DRGs for hospitals in the United States. The source of data for this table is FY2011 hospital charges file provided by the Centers for Medicare and Medicaid Services (CMS).",Health,,,,,,0,0,,2013-06-20 13:21:36,2013-06-20 13:21:19,['hospital inpatient discharges drg'],,,9,6,1
biux-xiwe,6hhm-htpq,Lobbyist Employers Summary,"This dataset is a list of all lobbyist employers and shows compensation/expenses totals for each year they employed lobbyists.

This dataset is a best-effort by the PDC to provide a complete set of records as described herewith and may contain incomplete or incorrect information. The PDC provides access to the original reports for the purpose of record verification.

Descriptions attached to this dataset do not constitute legal definitions; please consult RCW 42.17A and WAC Title 390 for legal definitions and additional information regarding political finance disclosure requirements.

CONDITION OF RELEASE: This publication and or referenced documents constitutes a list of individuals prepared by the Washington State Public Disclosure Commission and may not be used for commercial purposes. This list is provided on the condition and with the understanding that the persons receiving it agree to this statutorily imposed limitation on its use. See RCW 42.56.070(9) and AGO 1975 No. 15.",Politics,Public Disclosure Commission,Data retrieval starts in 2016,Daily,,http://www.pdc.wa.gov,1536,807,SEE_TERMS_OF_USE,2018-04-04 06:46:37,2021-02-15 14:37:26,"['lobbying', 'lobbyist employer', 'employer expense reports']",Lobbyist employer expenses and compensation_paid by year.,,28,28,3
uie2-nw4g,h2ue-vnnt,Agency Codes and Authorized Abbreviations,"Agency Codes from SAAM
Used for the identification of state agencies.  Refer to 
Section 75.20 for the statewide agency codes and authorized abbreviations.",Procurements and Contracts,OFM,2015-16,annually,,http://www.ofm.wa.gov/policy/75.20.htm,0,0,,2018-06-04 12:14:16,2018-06-04 12:12:00,"['agencies', 'accounting']",agency,,5,5,2
j59h-dkq5,vrr3-nct2,Agency Contracts Fiscal Year 2015,List of agency contracts in compliance with RCW 39.26,Procurements and Contracts,State Agencies,,,,,850,800,PUBLIC_DOMAIN,2018-05-08 13:02:54,2018-05-08 13:02:21,"['contracts', 'procurement', 'report']",Row,,17,0,3
qp8s-a5uf,sbxf-tc9c,L&I Public Works Project Details,"Updated daily for all projects where the prime’s intent was filed on/after July 1, 2019. Fields beginning with “Final” will only have data populated once the Notice of Completion is filed by the Awarding Agency for the project. Use the Project ID as the unique identifier to link data from other L&I public works datasets.",Labor,Labor & Industries,,,,,0,0,,2020-10-26 15:53:05,2021-02-15 07:00:59,"['public works', 'prevailing wage', 'project', 'apprentice', 'omwbe', 'utilization']",,,35,0,6
i89p-imif,3pra-yts3,"Immunization data for all students, kindergarten through 12th grade, 2014-2015 school year",Immunization status of Washington State students for school year 2014-15,Health,"WA Department of Health, Office of Immunziation and Child Profile",,,,http://www.doh.wa.gov/DataandStatisticalReports/HealthBehaviors/Immunization/SchoolReports,4656,795,PUBLIC_DOMAIN,2015-11-24 14:57:51,2015-11-24 14:52:03,"['health', 'department of health', 'vaccination', 'immunization', 'students']",Each row contains the data from one school.,,36,0,5
jbe2-ek4r,5him-9gq6,WA GHG Reporting Multi-Year Dataset,"This dataset contains data reported to Ecology as of December 15, 2018.  The reported emissions are preliminary and have not been fully verified by Ecology.  This information is subject to change.  

Certain large facilities and transportation fuel suppliers are required to report their greenhouse gas (GHG) emissions to Ecology beginning with the 2012 emissions year.  Owners or operators of the following are required to report: 
• Facilities that emit at least 10,000 metric tons of carbon dioxide equivalent (CO2e) of greenhouse gases per year in Washington. 
• Suppliers of liquid motor vehicle fuel, special fuel, or aircraft fuel that supply products equivalent to at least 10,000 metric tons of carbon dioxide per year in Washington. 
 
Sources are grouped by sectors.  Most sectors focus on each facility’s onsite emissions.   The transportation fuel supplier sector describes emissions associated with the complete combustion or oxidation of fuels supplied by transportation fuel suppliers under the Washington Department of Licensing Fuel Tax Program.  
 
This dataset does not include all of Washington’s emissions.  See the Washington State Greenhouse Gas Emissions Inventory (https://ecology.wa.gov/Research-Data/Scientific-reports/Statewide-greenhouse-gas-inventory) for statewide emissions totals.

Emissions are in units of metric tons of carbon dioxide equivalents using AR4 global warming potentials as specified in WAC 173-441.",Natural Resources & Environment,Washington Department of Ecology,2012-2017,,Climate Policy Section,https://ecology.wa.gov/Air-Climate/Climate-change/Carbon-reduction-targets/Facility-greenhouse-gas-reports,426,793,,2018-12-13 12:10:56,2018-12-13 12:10:55,"['ghg', 'greenhouse gas', 'emissions']",,,18,0,3
swyb-gmfy,bjfs-pe5a,DP Scoring Report Final,Final results of IT Decision Package scoring process,,,,,,,1102,776,,2015-02-17 17:23:59,2015-02-17 17:23:03,N/A,,,34,0,0
9dvy-pnhx,7ykf-4t5h,Report Card Graduation 2014-15 to Most Recent Year,"This file includes Report Card Graduation data for the 2014-15 school year through the most current year of graduation data available. This data is disaggregated by the school, district, and state levels and includes counts and graduation rates of students by the following groups: grade level, gender, race/ethnicity, and student programs and special characteristics. Please review the notes below for more information and notes for downloading this data.",Education,OSPI,,,,https://washingtonstatereportcard.ospi.k12.wa.us/,1113,776,,2020-01-24 08:33:30,2020-12-16 15:58:58,"['ospi', 'k-12', 'reportcard', 'students', 'graduation', '2015', '2016', '2017', '2018', '2019']",,,31,23,10
9tkb-7qab,4qen-4xif,WA RCO SCORP 2013 Dataset Part 2 of 7,"This dataset is a survey of outdoor recreation demand which includes responses from 3,114 residents of Washington state who were interviewed by phone between August 27 and October 26, 2012. The telephone survey was conducted using random digit dialing.  To meet the regional planning requirements of the project, the sample was stratified by the 10 planning regions in Washington (see the 2013 SCORP Plan, Appendix A for survey methodology and map). The consultant obtained a minimum of 300 completed interviews in each region.  Within each region, the results were weighted by demographic characteristics so that the sample was representative of residents of that region.  For statewide results, each region was weighted to be in proper proportion to the state population as a whole.  Study findings are representative at the statewide level as well as by planning region.  Any manipulation or analysis of the data should take this sampling approach and weighting into account.",Recreation,Washington State Recreation and Conservation Office (WA RCO),,,,http://www.rco.wa.gov,1066,766,PUBLIC_DOMAIN,2013-10-31 15:10:44,2013-10-24 12:04:17,"['washington state (wa)', 'recreation and conservation office (rco)', 'state comprehensive outdoor recreation plan (scorp) 2013', 'national park service (nps)']",,,243,0,4
wxek-dsag,6p7r-jviv,High School Dropout Statistics by County 2012-2013 School Year 5-Year Cohort Dropout Rates,,Education,Office of Juvenile Justice,,,,https://dshs.wa.gov/ra/office-juvenile-justice/washington-state-juvenile-justice-annual-report,4811,751,PUBLIC_DOMAIN,2015-11-30 20:48:18,2015-11-30 20:46:38,"['juvenile justice', 'annual report', 'wa-pcjj report', 'office of juvenile justice', 'dshs', 'dropout', 'youth']",Row,,5,0,7
s7ge-wicw,54vy-b9jn,L&I Contractor Authorized Signer Data,Addendum to Labor & Industries Contractor License and Registration data. Authorized signers are those identified on the license as authorized signers for permits or affidavits.,Labor,Labor & Industries,,,,http://www.Lni.wa.gov/TradesLicensing/Contractors/HireCon/Verify/,4365,748,PUBLIC_DOMAIN,2015-10-30 10:01:08,2021-02-15 12:22:07,"['l&i', 'labor & industries', 'labor and industries', 'contractor', 'license']",L&I Contractor Licensing Authorized Signer,,9,0,5
ma99-sxnd,v4iv-qfyh,Washington State Public Library Services during COVID-19 Building Closure & Reopening,"This dataset tracks services that Washington State public libraries continued to provide to the public during the COVID-19 pandemic, when many library buildings and facilities were closed to prevent viral spread and protect public health. The dataset also tracks reopening that began in summer 2020.",Culture and Community,"Washington State Library, Office of Secretary of State",3-12-2020 to present,as needed with changes ,,https://www.sos.wa.gov/library/,0,0,PUBLIC_DOMAIN,2020-11-17 18:10:23,2021-01-29 19:56:02,"['public library', 'public health', 'coronavirus', 'covid-19', 'communicable disease']",A public library system and its continued services to the public during COVID-19 building closures and restrictions.,English ,19,19,5
2zsf-krin,7ykf-4t5h,Report Card SQSS for 2018-19,"This file includes Report Card Dual Credit, 9th Grade on track, and regular attendance data for the 2018-19 school year. This data is disaggregated by the school, district, and state levels and includes counts and discipline rates of students by the following groups: grade level, gender, race/ethnicity, and student programs and special characteristics. Please review the notes below for more information and notes for downloading this data.",Education,OSPI,,,,https://washingtonstatereportcard.ospi.k12.wa.us/,439,734,,2019-11-20 14:47:46,2020-01-24 13:26:25,"['ospi', 'k-12', 'attendance', '9th grade on track', 'dual credit', 'reportcard', '2019', 'sqss']",,,32,32,8
